Year,Race_Num,RaceName,Circuit,Driver,Team,Quali_Pos,Quali_Time_Seconds
2022,15,Dutch Grand Prix,Zandvoort,ALB,Williams,14,71.695
2022,15,Dutch Grand Prix,Zandvoort,ZHO,Alfa Romeo,15,71.704
2022,15,Dutch Grand Prix,Zandvoort,BOT,Alfa Romeo,16,71.961
2022,15,Dutch Grand Prix,Zandvoort,MAG,Haas F1 Team,17,72.041
2022,15,Dutch Grand Prix,Zandvoort,RIC,McLaren,18,72.081
2022,15,Dutch Grand Prix,Zandvoort,VET,Aston Martin,19,72.391
2022,15,Dutch Grand Prix,Zandvoort,LAT,Williams,20,73.353
2022,16,Italian Grand Prix,Monza,LEC,Ferrari,1,80.161
2022,16,Italian Grand Prix,Monza,VER,Red Bull Racing,2,80.306
2022,16,Italian Grand Prix,Monza,SAI,Ferrari,3,80.429
2022,16,Italian Grand Prix,Monza,PER,Red Bull Racing,4,81.206
2022,16,Italian Grand Prix,Monza,HAM,Mercedes,5,81.524
2022,16,Italian Grand Prix,Monza,RUS,Mercedes,6,81.542
2022,16,Italian Grand Prix,Monza,NOR,McLaren,7,81.584
2022,16,Italian Grand Prix,Monza,ALO,Alpine,8,81.829
2022,16,Italian Grand Prix,Monza,RIC,McLaren,9,81.855
2022,16,Italian Grand Prix,Monza,GAS,AlphaTauri,10,81.91
2022,16,Italian Grand Prix,Monza,ZHO,Alfa Romeo,11,82.003
2022,16,Italian Grand Prix,Monza,TSU,AlphaTauri,12,82.02
2022,16,Italian Grand Prix,Monza,OCO,Alpine,13,82.13
2022,16,Italian Grand Prix,Monza,DEV,Williams,14,82.176
2022,16,Italian Grand Prix,Monza,BOT,Alfa Romeo,15,82.235
2022,16,Italian Grand Prix,Monza,MAG,Haas F1 Team,16,82.399
2022,16,Italian Grand Prix,Monza,LAT,Williams,17,82.587
2022,16,Italian Grand Prix,Monza,VET,Aston Martin,18,82.636
2022,16,Italian Grand Prix,Monza,STR,Aston Martin,19,82.748
2022,16,Italian Grand Prix,Monza,MSC,Haas F1 Team,20,83.005
2022,17,Singapore Grand Prix,Marina Bay,LEC,Ferrari,1,109.412
2022,17,Singapore Grand Prix,Marina Bay,PER,Red Bull Racing,2,109.434
2022,17,Singapore Grand Prix,Marina Bay,HAM,Mercedes,3,109.466
2022,17,Singapore Grand Prix,Marina Bay,SAI,Ferrari,4,109.583
2022,17,Singapore Grand Prix,Marina Bay,ALO,Alpine,5,109.966
2022,17,Singapore Grand Prix,Marina Bay,NOR,McLaren,6,110.584
2022,17,Singapore Grand Prix,Marina Bay,GAS,AlphaTauri,7,111.211
2022,17,Singapore Grand Prix,Marina Bay,VER,Red Bull Racing,8,111.395
2022,17,Singapore Grand Prix,Marina Bay,MAG,Haas F1 Team,9,111.573
2022,17,Singapore Grand Prix,Marina Bay,TSU,AlphaTauri,10,111.983
2022,17,Singapore Grand Prix,Marina Bay,RUS,Mercedes,11,114.012
2022,17,Singapore Grand Prix,Marina Bay,STR,Aston Martin,12,114.211
2022,17,Singapore Grand Prix,Marina Bay,MSC,Haas F1 Team,13,114.37
2022,17,Singapore Grand Prix,Marina Bay,VET,Aston Martin,14,114.38
2022,17,Singapore Grand Prix,Marina Bay,ZHO,Alfa Romeo,15,115.375
2022,17,Singapore Grand Prix,Marina Bay,BOT,Alfa Romeo,16,116.083
2022,17,Singapore Grand Prix,Marina Bay,RIC,McLaren,17,116.226
2022,17,Singapore Grand Prix,Marina Bay,OCO,Alpine,18,116.337
2022,17,Singapore Grand Prix,Marina Bay,ALB,Williams,19,116.985
2022,17,Singapore Grand Prix,Marina Bay,LAT,Williams,20,117.532
2022,18,Japanese Grand Prix,Suzuka,VER,Red Bull Racing,1,89.304
2022,18,Japanese Grand Prix,Suzuka,LEC,Ferrari,2,89.314
2022,18,Japanese Grand Prix,Suzuka,SAI,Ferrari,3,89.361
2022,18,Japanese Grand Prix,Suzuka,PER,Red Bull Racing,4,89.709
2022,18,Japanese Grand Prix,Suzuka,OCO,Alpine,5,90.165
2022,18,Japanese Grand Prix,Suzuka,HAM,Mercedes,6,90.261
2022,18,Japanese Grand Prix,Suzuka,ALO,Alpine,7,90.322
2022,18,Japanese Grand Prix,Suzuka,RUS,Mercedes,8,90.389
2022,18,Japanese Grand Prix,Suzuka,NOR,McLaren,9,90.473
2022,18,Japanese Grand Prix,Suzuka,VET,Aston Martin,10,90.554
2022,18,Japanese Grand Prix,Suzuka,RIC,McLaren,11,90.659
2022,18,Japanese Grand Prix,Suzuka,BOT,Alfa Romeo,12,90.709
2022,18,Japanese Grand Prix,Suzuka,TSU,AlphaTauri,13,90.808
2022,18,Japanese Grand Prix,Suzuka,ZHO,Alfa Romeo,14,90.894
2022,18,Japanese Grand Prix,Suzuka,MSC,Haas F1 Team,15,91.152
2022,18,Japanese Grand Prix,Suzuka,ALB,Williams,16,91.311
2022,18,Japanese Grand Prix,Suzuka,GAS,AlphaTauri,17,91.322
2022,18,Japanese Grand Prix,Suzuka,MAG,Haas F1 Team,18,91.352
2022,18,Japanese Grand Prix,Suzuka,STR,Aston Martin,19,91.419
2022,18,Japanese Grand Prix,Suzuka,LAT,Williams,20,91.511
2022,19,United States Grand Prix,Austin,SAI,Ferrari,1,94.356
2022,19,United States Grand Prix,Austin,LEC,Ferrari,2,94.421
2022,19,United States Grand Prix,Austin,VER,Red Bull Racing,3,94.448
2022,19,United States Grand Prix,Austin,PER,Red Bull Racing,4,94.645
2022,19,United States Grand Prix,Austin,HAM,Mercedes,5,94.947
2022,19,United States Grand Prix,Austin,RUS,Mercedes,6,94.988
2022,19,United States Grand Prix,Austin,STR,Aston Martin,7,95.598
2022,19,United States Grand Prix,Austin,NOR,McLaren,8,95.69
2022,19,United States Grand Prix,Austin,ALO,Alpine,9,95.876
2022,19,United States Grand Prix,Austin,ZHO,Alfa Romeo,10,96.196
2022,19,United States Grand Prix,Austin,BOT,Alfa Romeo,11,96.319
2022,19,United States Grand Prix,Austin,ALB,Williams,12,96.368
2022,19,United States Grand Prix,Austin,VET,Aston Martin,13,96.398
2022,19,United States Grand Prix,Austin,TSU,AlphaTauri,14,96.439
2022,19,United States Grand Prix,Austin,GAS,AlphaTauri,15,96.577
2022,19,United States Grand Prix,Austin,MAG,Haas F1 Team,16,96.949
2022,19,United States Grand Prix,Austin,RIC,McLaren,17,97.046
2022,19,United States Grand Prix,Austin,OCO,Alpine,18,97.068
2022,19,United States Grand Prix,Austin,MSC,Haas F1 Team,19,97.111
2022,19,United States Grand Prix,Austin,LAT,Williams,20,97.244
2022,20,Mexico City Grand Prix,Mexico City,VER,Red Bull Racing,1,77.775
2022,20,Mexico City Grand Prix,Mexico City,RUS,Mercedes,2,78.079
2022,20,Mexico City Grand Prix,Mexico City,HAM,Mercedes,3,78.084
2022,20,Mexico City Grand Prix,Mexico City,PER,Red Bull Racing,4,78.128
2022,20,Mexico City Grand Prix,Mexico City,SAI,Ferrari,5,78.351
2022,20,Mexico City Grand Prix,Mexico City,BOT,Alfa Romeo,6,78.401
2022,20,Mexico City Grand Prix,Mexico City,LEC,Ferrari,7,78.555
2022,20,Mexico City Grand Prix,Mexico City,NOR,McLaren,8,78.721
2022,20,Mexico City Grand Prix,Mexico City,ALO,Alpine,9,78.939
2022,20,Mexico City Grand Prix,Mexico City,OCO,Alpine,10,79.01
2022,20,Mexico City Grand Prix,Mexico City,RIC,McLaren,11,79.325
2022,20,Mexico City Grand Prix,Mexico City,ZHO,Alfa Romeo,12,79.476
2022,20,Mexico City Grand Prix,Mexico City,TSU,AlphaTauri,13,79.589
2022,20,Mexico City Grand Prix,Mexico City,GAS,AlphaTauri,14,79.672
2022,20,Mexico City Grand Prix,Mexico City,MSC,Haas F1 Team,15,79.695
2022,20,Mexico City Grand Prix,Mexico City,MAG,Haas F1 Team,16,79.833
2022,20,Mexico City Grand Prix,Mexico City,VET,Aston Martin,17,80.419
2022,20,Mexico City Grand Prix,Mexico City,STR,Aston Martin,18,80.52
2022,20,Mexico City Grand Prix,Mexico City,ALB,Williams,19,80.859
2022,20,Mexico City Grand Prix,Mexico City,LAT,Williams,20,81.167
2022,21,São Paulo Grand Prix,São Paulo,VER,Red Bull Racing,1,70.881
2022,21,São Paulo Grand Prix,São Paulo,SAI,Ferrari,2,70.89
2022,21,São Paulo Grand Prix,São Paulo,LEC,Ferrari,3,70.95
2022,21,São Paulo Grand Prix,São Paulo,RUS,Mercedes,4,71.318
2022,21,São Paulo Grand Prix,São Paulo,NOR,McLaren,5,71.377
2022,21,São Paulo Grand Prix,São Paulo,ALO,Alpine,6,71.394
2022,21,São Paulo Grand Prix,São Paulo,MAG,Haas F1 Team,7,71.41
2022,21,São Paulo Grand Prix,São Paulo,PER,Red Bull Racing,8,71.456
2022,21,São Paulo Grand Prix,São Paulo,HAM,Mercedes,9,71.539
2022,21,São Paulo Grand Prix,São Paulo,OCO,Alpine,10,71.587
2022,21,São Paulo Grand Prix,São Paulo,ALB,Williams,11,71.631
2022,21,São Paulo Grand Prix,São Paulo,GAS,AlphaTauri,12,71.675
2022,21,São Paulo Grand Prix,São Paulo,VET,Aston Martin,13,71.678
2022,21,São Paulo Grand Prix,São Paulo,RIC,McLaren,14,72.14
2022,21,São Paulo Grand Prix,São Paulo,STR,Aston Martin,15,72.21
2022,21,São Paulo Grand Prix,São Paulo,LAT,Williams,16,75.095
2022,21,São Paulo Grand Prix,São Paulo,ZHO,Alfa Romeo,17,75.197
2022,21,São Paulo Grand Prix,São Paulo,BOT,Alfa Romeo,18,75.486
2022,21,São Paulo Grand Prix,São Paulo,TSU,AlphaTauri,19,76.264
2022,21,São Paulo Grand Prix,São Paulo,MSC,Haas F1 Team,20,76.361
2022,22,Abu Dhabi Grand Prix,Yas Island,VER,Red Bull Racing,1,83.824
2022,22,Abu Dhabi Grand Prix,Yas Island,PER,Red Bull Racing,2,84.052
2022,22,Abu Dhabi Grand Prix,Yas Island,LEC,Ferrari,3,84.092
2022,22,Abu Dhabi Grand Prix,Yas Island,SAI,Ferrari,4,84.242
2022,22,Abu Dhabi Grand Prix,Yas Island,HAM,Mercedes,5,84.508
2022,22,Abu Dhabi Grand Prix,Yas Island,RUS,Mercedes,6,84.511
2022,22,Abu Dhabi Grand Prix,Yas Island,NOR,McLaren,7,84.769
2022,22,Abu Dhabi Grand Prix,Yas Island,OCO,Alpine,8,84.83
2022,22,Abu Dhabi Grand Prix,Yas Island,VET,Aston Martin,9,84.961
2022,22,Abu Dhabi Grand Prix,Yas Island,RIC,McLaren,10,85.045
2022,22,Abu Dhabi Grand Prix,Yas Island,ALO,Alpine,11,85.096
2022,22,Abu Dhabi Grand Prix,Yas Island,TSU,AlphaTauri,12,85.219
2022,22,Abu Dhabi Grand Prix,Yas Island,MSC,Haas F1 Team,13,85.225
2022,22,Abu Dhabi Grand Prix,Yas Island,STR,Aston Martin,14,85.359
2022,22,Abu Dhabi Grand Prix,Yas Island,ZHO,Alfa Romeo,15,85.408
2022,22,Abu Dhabi Grand Prix,Yas Island,MAG,Haas F1 Team,16,85.834
2022,22,Abu Dhabi Grand Prix,Yas Island,GAS,AlphaTauri,17,85.859
2022,22,Abu Dhabi Grand Prix,Yas Island,BOT,Alfa Romeo,18,85.892
2022,22,Abu Dhabi Grand Prix,Yas Island,ALB,Williams,19,86.028
2022,22,Abu Dhabi Grand Prix,Yas Island,LAT,Williams,20,86.054
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,1,89.708
2023,1,Bahrain Grand Prix,Sakhir,PER,Red Bull Racing,2,89.846
2023,1,Bahrain Grand Prix,Sakhir,LEC,Ferrari,3,90.0
2023,1,Bahrain Grand Prix,Sakhir,SAI,Ferrari,4,90.154
2023,1,Bahrain Grand Prix,Sakhir,ALO,Aston Martin,5,90.336
2023,1,Bahrain Grand Prix,Sakhir,RUS,Mercedes,6,90.34
2023,1,Bahrain Grand Prix,Sakhir,HAM,Mercedes,7,90.384
2023,1,Bahrain Grand Prix,Sakhir,HUL,Haas F1 Team,8,90.809
2023,1,Bahrain Grand Prix,Sakhir,STR,Aston Martin,9,90.836
2023,1,Bahrain Grand Prix,Sakhir,OCO,Alpine,10,90.914
2023,1,Bahrain Grand Prix,Sakhir,NOR,McLaren,11,91.381
2023,1,Bahrain Grand Prix,Sakhir,TSU,AlphaTauri,12,91.4
2023,1,Bahrain Grand Prix,Sakhir,BOT,Alfa Romeo,13,91.443
2023,1,Bahrain Grand Prix,Sakhir,ALB,Williams,14,91.461
2023,1,Bahrain Grand Prix,Sakhir,ZHO,Alfa Romeo,15,91.473
2023,1,Bahrain Grand Prix,Sakhir,SAR,Williams,16,91.652
2023,1,Bahrain Grand Prix,Sakhir,GAS,Alpine,17,91.818
2023,1,Bahrain Grand Prix,Sakhir,MAG,Haas F1 Team,18,91.892
2023,1,Bahrain Grand Prix,Sakhir,PIA,McLaren,19,92.101
2023,1,Bahrain Grand Prix,Sakhir,DEV,AlphaTauri,20,92.121
2023,2,Saudi Arabian Grand Prix,Jeddah,PER,Red Bull Racing,1,88.265
2023,2,Saudi Arabian Grand Prix,Jeddah,LEC,Ferrari,2,88.42
2023,2,Saudi Arabian Grand Prix,Jeddah,ALO,Aston Martin,3,88.73
2023,2,Saudi Arabian Grand Prix,Jeddah,VER,Red Bull Racing,4,88.761
2023,2,Saudi Arabian Grand Prix,Jeddah,RUS,Mercedes,5,88.857
2023,2,Saudi Arabian Grand Prix,Jeddah,SAI,Ferrari,6,88.931
2023,2,Saudi Arabian Grand Prix,Jeddah,STR,Aston Martin,7,88.945
2023,2,Saudi Arabian Grand Prix,Jeddah,OCO,Alpine,8,89.078
2023,2,Saudi Arabian Grand Prix,Jeddah,HAM,Mercedes,9,89.223
2023,2,Saudi Arabian Grand Prix,Jeddah,PIA,McLaren,10,89.243
2023,2,Saudi Arabian Grand Prix,Jeddah,GAS,Alpine,11,89.357
2023,2,Saudi Arabian Grand Prix,Jeddah,HUL,Haas F1 Team,12,89.451
2023,2,Saudi Arabian Grand Prix,Jeddah,ZHO,Alfa Romeo,13,89.461
2023,2,Saudi Arabian Grand Prix,Jeddah,MAG,Haas F1 Team,14,89.517
2023,2,Saudi Arabian Grand Prix,Jeddah,BOT,Alfa Romeo,15,89.668
2023,2,Saudi Arabian Grand Prix,Jeddah,SAR,Williams,16,89.721
2023,2,Saudi Arabian Grand Prix,Jeddah,TSU,AlphaTauri,17,89.939
2023,2,Saudi Arabian Grand Prix,Jeddah,ALB,Williams,18,89.994
2023,2,Saudi Arabian Grand Prix,Jeddah,DEV,AlphaTauri,19,90.244
2023,2,Saudi Arabian Grand Prix,Jeddah,NOR,McLaren,20,90.447
2023,3,Australian Grand Prix,Melbourne,VER,Red Bull Racing,1,76.732
2023,3,Australian Grand Prix,Melbourne,RUS,Mercedes,2,76.968
2023,3,Australian Grand Prix,Melbourne,HAM,Mercedes,3,77.104
2023,3,Australian Grand Prix,Melbourne,ALO,Aston Martin,4,77.139
2023,3,Australian Grand Prix,Melbourne,SAI,Ferrari,5,77.27
2023,3,Australian Grand Prix,Melbourne,STR,Aston Martin,6,77.308
2023,3,Australian Grand Prix,Melbourne,LEC,Ferrari,7,77.369
2023,3,Australian Grand Prix,Melbourne,HUL,Haas F1 Team,8,77.412
2023,3,Australian Grand Prix,Melbourne,GAS,Alpine,9,77.574
2023,3,Australian Grand Prix,Melbourne,ALB,Williams,10,77.609
2023,3,Australian Grand Prix,Melbourne,OCO,Alpine,11,77.768
2023,3,Australian Grand Prix,Melbourne,TSU,AlphaTauri,12,78.099
2023,3,Australian Grand Prix,Melbourne,NOR,McLaren,13,78.119
2023,3,Australian Grand Prix,Melbourne,MAG,Haas F1 Team,14,78.129
2023,3,Australian Grand Prix,Melbourne,DEV,AlphaTauri,15,78.335
2023,3,Australian Grand Prix,Melbourne,PIA,McLaren,16,78.517
2023,3,Australian Grand Prix,Melbourne,ZHO,Alfa Romeo,17,78.54
2023,3,Australian Grand Prix,Melbourne,SAR,Williams,18,78.557
2023,3,Australian Grand Prix,Melbourne,BOT,Alfa Romeo,19,78.714
2023,3,Australian Grand Prix,Melbourne,PER,Red Bull Racing,20,100.187
2023,4,Azerbaijan Grand Prix,Baku,LEC,Ferrari,1,100.203
2023,4,Azerbaijan Grand Prix,Baku,VER,Red Bull Racing,2,100.391
2023,4,Azerbaijan Grand Prix,Baku,PER,Red Bull Racing,3,100.495
2023,4,Azerbaijan Grand Prix,Baku,SAI,Ferrari,4,101.016
2023,4,Azerbaijan Grand Prix,Baku,HAM,Mercedes,5,101.177
2023,4,Azerbaijan Grand Prix,Baku,ALO,Aston Martin,6,101.253
2023,4,Azerbaijan Grand Prix,Baku,NOR,McLaren,7,101.281
2023,4,Azerbaijan Grand Prix,Baku,TSU,AlphaTauri,8,101.569
2023,4,Azerbaijan Grand Prix,Baku,STR,Aston Martin,9,101.576
2023,4,Azerbaijan Grand Prix,Baku,PIA,McLaren,10,101.611
2023,4,Azerbaijan Grand Prix,Baku,RUS,Mercedes,11,101.654
2023,4,Azerbaijan Grand Prix,Baku,OCO,Alpine,12,101.798
2023,4,Azerbaijan Grand Prix,Baku,ALB,Williams,13,101.818
2023,4,Azerbaijan Grand Prix,Baku,SAR,Williams,14,102.242
2023,4,Azerbaijan Grand Prix,Baku,BOT,Alfa Romeo,15,102.259
2023,4,Azerbaijan Grand Prix,Baku,ZHO,Alfa Romeo,16,102.642
2023,4,Azerbaijan Grand Prix,Baku,HUL,Haas F1 Team,17,102.755
2023,4,Azerbaijan Grand Prix,Baku,MAG,Haas F1 Team,18,103.417
2023,4,Azerbaijan Grand Prix,Baku,GAS,Alpine,19,104.853
2023,4,Azerbaijan Grand Prix,Baku,DEV,AlphaTauri,20,115.282
2023,5,Miami Grand Prix,Miami,VER,Red Bull Racing,1,86.814
2023,5,Miami Grand Prix,Miami,PER,Red Bull Racing,2,86.841
2023,5,Miami Grand Prix,Miami,LEC,Ferrari,3,86.964
2023,5,Miami Grand Prix,Miami,ALO,Aston Martin,4,87.097
2023,5,Miami Grand Prix,Miami,SAI,Ferrari,5,87.148
2023,5,Miami Grand Prix,Miami,OCO,Alpine,6,87.444
2023,5,Miami Grand Prix,Miami,BOT,Alfa Romeo,7,87.564
2023,5,Miami Grand Prix,Miami,GAS,Alpine,8,87.612
2023,5,Miami Grand Prix,Miami,MAG,Haas F1 Team,9,87.673
2023,5,Miami Grand Prix,Miami,RUS,Mercedes,10,87.743
2023,5,Miami Grand Prix,Miami,ALB,Williams,11,87.795
2023,5,Miami Grand Prix,Miami,HAM,Mercedes,12,87.846
2023,5,Miami Grand Prix,Miami,HUL,Haas F1 Team,13,87.903
2023,5,Miami Grand Prix,Miami,ZHO,Alfa Romeo,14,88.091
2023,5,Miami Grand Prix,Miami,DEV,AlphaTauri,15,88.325
2023,5,Miami Grand Prix,Miami,NOR,McLaren,16,88.394
2023,5,Miami Grand Prix,Miami,TSU,AlphaTauri,17,88.429
2023,5,Miami Grand Prix,Miami,STR,Aston Martin,18,88.476
2023,5,Miami Grand Prix,Miami,PIA,McLaren,19,88.484
2023,5,Miami Grand Prix,Miami,SAR,Williams,20,88.577
2023,6,Monaco Grand Prix,Monaco,VER,Red Bull Racing,1,71.365
2023,6,Monaco Grand Prix,Monaco,ALO,Aston Martin,2,71.449
2023,6,Monaco Grand Prix,Monaco,LEC,Ferrari,3,71.471
2023,6,Monaco Grand Prix,Monaco,OCO,Alpine,4,71.553
2023,6,Monaco Grand Prix,Monaco,SAI,Ferrari,5,71.63
2023,6,Monaco Grand Prix,Monaco,HAM,Mercedes,6,71.725
2023,6,Monaco Grand Prix,Monaco,GAS,Alpine,7,71.933
2023,6,Monaco Grand Prix,Monaco,RUS,Mercedes,8,71.964
2023,6,Monaco Grand Prix,Monaco,TSU,AlphaTauri,9,72.082
2023,6,Monaco Grand Prix,Monaco,NOR,McLaren,10,72.254
2023,6,Monaco Grand Prix,Monaco,PIA,McLaren,11,72.395
2023,6,Monaco Grand Prix,Monaco,DEV,AlphaTauri,12,72.428
2023,6,Monaco Grand Prix,Monaco,ALB,Williams,13,72.527
2023,6,Monaco Grand Prix,Monaco,STR,Aston Martin,14,72.623
2023,6,Monaco Grand Prix,Monaco,BOT,Alfa Romeo,15,72.625
2023,6,Monaco Grand Prix,Monaco,SAR,Williams,16,73.113
2023,6,Monaco Grand Prix,Monaco,MAG,Haas F1 Team,17,73.27
2023,6,Monaco Grand Prix,Monaco,HUL,Haas F1 Team,18,73.279
2023,6,Monaco Grand Prix,Monaco,ZHO,Alfa Romeo,19,73.523
2023,6,Monaco Grand Prix,Monaco,PER,Red Bull Racing,20,73.85
2023,7,Spanish Grand Prix,Barcelona,VER,Red Bull Racing,1,72.272
2023,7,Spanish Grand Prix,Barcelona,SAI,Ferrari,2,72.734
2023,7,Spanish Grand Prix,Barcelona,NOR,McLaren,3,72.776
2023,7,Spanish Grand Prix,Barcelona,GAS,Alpine,4,72.816
2023,7,Spanish Grand Prix,Barcelona,HAM,Mercedes,5,72.818
2023,7,Spanish Grand Prix,Barcelona,STR,Aston Martin,6,72.994
2023,7,Spanish Grand Prix,Barcelona,OCO,Alpine,7,73.001
2023,7,Spanish Grand Prix,Barcelona,PIA,McLaren,8,73.059
2023,7,Spanish Grand Prix,Barcelona,ALO,Aston Martin,9,73.098
2023,7,Spanish Grand Prix,Barcelona,HUL,Haas F1 Team,10,73.229
2023,7,Spanish Grand Prix,Barcelona,TSU,AlphaTauri,11,73.316
2023,7,Spanish Grand Prix,Barcelona,RUS,Mercedes,12,73.326
2023,7,Spanish Grand Prix,Barcelona,PER,Red Bull Racing,13,73.334
2023,7,Spanish Grand Prix,Barcelona,ZHO,Alfa Romeo,14,73.521
2023,7,Spanish Grand Prix,Barcelona,DEV,AlphaTauri,15,73.581
2023,7,Spanish Grand Prix,Barcelona,BOT,Alfa Romeo,16,73.977
2023,7,Spanish Grand Prix,Barcelona,MAG,Haas F1 Team,17,74.042
2023,7,Spanish Grand Prix,Barcelona,ALB,Williams,18,74.063
2023,7,Spanish Grand Prix,Barcelona,LEC,Ferrari,19,74.079
2023,7,Spanish Grand Prix,Barcelona,SAR,Williams,20,74.699
2023,8,Canadian Grand Prix,Montréal,ALB,Williams,1,78.725
2023,8,Canadian Grand Prix,Montréal,VER,Red Bull Racing,2,79.092
2023,8,Canadian Grand Prix,Montréal,NOR,McLaren,3,79.347
2023,8,Canadian Grand Prix,Montréal,PIA,McLaren,4,79.659
2023,8,Canadian Grand Prix,Montréal,ALO,Aston Martin,5,79.776
2023,8,Canadian Grand Prix,Montréal,SAI,Ferrari,6,79.856
2023,8,Canadian Grand Prix,Montréal,RUS,Mercedes,7,80.098
2023,8,Canadian Grand Prix,Montréal,HUL,Haas F1 Team,8,80.305
2023,8,Canadian Grand Prix,Montréal,OCO,Alpine,9,80.406
2023,8,Canadian Grand Prix,Montréal,HAM,Mercedes,10,80.426
2023,8,Canadian Grand Prix,Montréal,LEC,Ferrari,11,80.615
2023,8,Canadian Grand Prix,Montréal,PER,Red Bull Racing,12,80.959
2023,8,Canadian Grand Prix,Montréal,STR,Aston Martin,13,81.484
2023,8,Canadian Grand Prix,Montréal,MAG,Haas F1 Team,14,81.678
2023,8,Canadian Grand Prix,Montréal,BOT,Alfa Romeo,15,81.821
2023,8,Canadian Grand Prix,Montréal,TSU,AlphaTauri,16,82.746
2023,8,Canadian Grand Prix,Montréal,GAS,Alpine,17,82.886
2023,8,Canadian Grand Prix,Montréal,DEV,AlphaTauri,18,83.137
2023,8,Canadian Grand Prix,Montréal,SAR,Williams,19,83.337
2023,8,Canadian Grand Prix,Montréal,ZHO,Alfa Romeo,20,83.342
2023,9,Austrian Grand Prix,Spielberg,VER,Red Bull Racing,1,64.391
2023,9,Austrian Grand Prix,Spielberg,LEC,Ferrari,2,64.439
2023,9,Austrian Grand Prix,Spielberg,SAI,Ferrari,3,64.581
2023,9,Austrian Grand Prix,Spielberg,NOR,McLaren,4,64.658
2023,9,Austrian Grand Prix,Spielberg,HAM,Mercedes,5,64.819
2023,9,Austrian Grand Prix,Spielberg,STR,Aston Martin,6,64.893
2023,9,Austrian Grand Prix,Spielberg,ALO,Aston Martin,7,64.911
2023,9,Austrian Grand Prix,Spielberg,PER,Red Bull Racing,8,64.99
2023,9,Austrian Grand Prix,Spielberg,GAS,Alpine,9,65.084
2023,9,Austrian Grand Prix,Spielberg,HUL,Haas F1 Team,10,65.09
2023,9,Austrian Grand Prix,Spielberg,PIA,McLaren,11,65.213
2023,9,Austrian Grand Prix,Spielberg,OCO,Alpine,12,65.295
2023,9,Austrian Grand Prix,Spielberg,ALB,Williams,13,65.34
2023,9,Austrian Grand Prix,Spielberg,RUS,Mercedes,14,65.408
2023,9,Austrian Grand Prix,Spielberg,BOT,Alfa Romeo,15,65.513
2023,9,Austrian Grand Prix,Spielberg,TSU,AlphaTauri,16,65.784
2023,9,Austrian Grand Prix,Spielberg,MAG,Haas F1 Team,17,65.793
2023,9,Austrian Grand Prix,Spielberg,ZHO,Alfa Romeo,18,65.818
2023,9,Austrian Grand Prix,Spielberg,SAR,Williams,19,65.948
2023,9,Austrian Grand Prix,Spielberg,DEV,AlphaTauri,20,65.974
2023,10,British Grand Prix,Silverstone,VER,Red Bull Racing,1,86.72
2023,10,British Grand Prix,Silverstone,NOR,McLaren,2,86.961
2023,10,British Grand Prix,Silverstone,PIA,McLaren,3,87.092
2023,10,British Grand Prix,Silverstone,LEC,Ferrari,4,87.136
2023,10,British Grand Prix,Silverstone,SAI,Ferrari,5,87.148
2023,10,British Grand Prix,Silverstone,RUS,Mercedes,6,87.155
2023,10,British Grand Prix,Silverstone,HAM,Mercedes,7,87.211
2023,10,British Grand Prix,Silverstone,ALB,Williams,8,87.53
2023,10,British Grand Prix,Silverstone,ALO,Aston Martin,9,87.659
2023,10,British Grand Prix,Silverstone,GAS,Alpine,10,87.689
2023,10,British Grand Prix,Silverstone,HUL,Haas F1 Team,11,88.896
2023,10,British Grand Prix,Silverstone,STR,Aston Martin,12,88.935
2023,10,British Grand Prix,Silverstone,OCO,Alpine,13,88.956
2023,10,British Grand Prix,Silverstone,SAR,Williams,14,89.031
2023,10,British Grand Prix,Silverstone,BOT,Alfa Romeo,15,89.798
2023,10,British Grand Prix,Silverstone,PER,Red Bull Racing,16,89.968
2023,10,British Grand Prix,Silverstone,TSU,AlphaTauri,17,90.025
2023,10,British Grand Prix,Silverstone,ZHO,Alfa Romeo,18,90.123
2023,10,British Grand Prix,Silverstone,DEV,AlphaTauri,19,90.513
2023,10,British Grand Prix,Silverstone,MAG,Haas F1 Team,20,92.378
2023,11,Hungarian Grand Prix,Budapest,HAM,Mercedes,1,76.609
2023,11,Hungarian Grand Prix,Budapest,VER,Red Bull Racing,2,76.612
2023,11,Hungarian Grand Prix,Budapest,NOR,McLaren,3,76.694
2023,11,Hungarian Grand Prix,Budapest,PIA,McLaren,4,76.905
2023,11,Hungarian Grand Prix,Budapest,ZHO,Alfa Romeo,5,76.971
2023,11,Hungarian Grand Prix,Budapest,LEC,Ferrari,6,76.992
2023,11,Hungarian Grand Prix,Budapest,BOT,Alfa Romeo,7,77.034
2023,11,Hungarian Grand Prix,Budapest,ALO,Aston Martin,8,77.035
2023,11,Hungarian Grand Prix,Budapest,PER,Red Bull Racing,9,77.045
2023,11,Hungarian Grand Prix,Budapest,HUL,Haas F1 Team,10,77.186
2023,11,Hungarian Grand Prix,Budapest,SAI,Ferrari,11,77.703
2023,11,Hungarian Grand Prix,Budapest,OCO,Alpine,12,77.841
2023,11,Hungarian Grand Prix,Budapest,STR,Aston Martin,13,77.861
2023,11,Hungarian Grand Prix,Budapest,RIC,AlphaTauri,14,78.002
2023,11,Hungarian Grand Prix,Budapest,GAS,Alpine,15,78.045
